inchi_key,level1,level2,level3,level4,level5,name,smiles
KOHIRBRYDXPAMZ-YHBROIRLSA-N,,,,,,,O[C@H](CNC[C@@H](O)[C@@H]1CCC2CC(F)CCC2O1)[C@H]1CCC2CC(F)CCC2O1
MEOYFIHNRBNEPI-UXIGCNINSA-N,,,,,,LY-2334737,CCCC(CCC)C(=O)NC1CCN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1
GFMMXOIFOQCCGU-UHFFFAOYSA-N,,,,,,CI-1040,FC1CCC(C(=O)NOCC2CC2)C(NC2CCC(I)CC2CL)C1F
IQPNAANSBPBGFQ-UHFFFAOYSA-N,,,,,,,OC1CC(O)C2C(C1)OC(CC2=O)-C1CCC(O)C(O)C1
SNICXCGAKADSCV-JTQLQIEISA-N,N,N07,N07B,N07BA,N07BA01,Nicotine,CN1CCC[C@H]1C1CCCNC1
VRTWBAAJJOHBQU-KMWAZVGDSA-N,J,J05,J05A,J05AP,J05AP51,Ledipasvir,COC(=O)N[C@@H](C(C)C)C(=O)N1CC2(CC2)C[C@H]1C1NCC([NH]1)-C1CCC2-C3CCC(CC3C(F)(F)C2C1)-C1CCC2NC([NH]C2C1)[C@@H]1[C@H]2CC[C@H](C2)N1C(=O)[C@@H](NC(=O)OC)C(C)C
ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,C,C01,C01B,C01BD,C01BD07,Dronedarone,CCCCN(CCCC)CCCOC1CCC(CC1)C(=O)C1C(CCCC)OC2CCC(NS(C)(=O)=O)CC12
CZFFBEXEKNGXKS-UHFFFAOYSA-N,J,J05,J05A,J05AR,J05AR16,Raltegravir,CC1NNC(O1)C(=O)NC(C)(C)C1NC(C(=O)NCC2CCC(F)CC2)C(O)C(=O)N1C
YFAGHNZHGGCZAX-JKIFEVAISA-N,J,J01,J01C,J01CR,J01CR50,Dicloxacillin,CC1ONC(C1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-C1C(CL)CCCC1CL
TTZHDVOVKQGIBA-YBSJRAAASA-N,,,,,,,CC(C)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@H](N2CCC(=O)[NH]C2=O)[C@](C)(F)[C@@H]1O)OC1CCCCC1
ZGBGPEDJXCYQPH-UHFFFAOYSA-N,,,,,,,CC1CCC(NC(=O)C2CCCC(C2)C(C)(C)C#N)CC1NC1CCC2NCN(C)C(=O)C2C1
UISRWLSAXIOCND-UHFFFAOYSA-N,,,,,,,COC1CC(CCC1NC1NC(N)C(S1)C(=O)C1C(CL)CCCC1CL)N1CCN(C)CC1
RFHAOTPXVQNOHP-UHFFFAOYSA-N,J,J01,J01R,J01RA,J01RA07,Fluconazole,OC(CN1CNCN1)(CN1CNCN1)C1CCC(F)CC1F
YIBOMRUWOWDFLG-ONEGZZNKSA-N,J,J05,J05A,J05AR,J05AR19,Rilpivirine,CC1CC(\C=C\C#N)CC(C)C1NC1CCNC(NC2CCC(CC2)C#N)N1
ARJCBSRIPGJMAD-LLVKDONJSA-N,,,,,,,NC(=O)C1NOC(N1)[C@H](CCCC1CCCCC1)CC(=O)NO
XFYDIVBRZNQMJC-UHFFFAOYSA-N,M,M03,M03B,M03BX,M03BX02,Tizanidine,CLC1CCC2NSNC2C1NC1=NCCN1
FASDKYOPVNHBLU-ZETCQYMHSA-N,N,N04,N04B,N04BC,N04BC05,Pramipexole,CCCN[C@H]1CCC2NC(N)SC2C1
BCEHBSKCWLPMDN-MGPLVRAMSA-N,J,J02,J02A,J02AC,J02AC03,Voriconazole,C[C@@H](C1NCNCC1F)[C@](O)(CN1CNCN1)C1CCC(F)CC1F
IMEGLYUXMGWVQA-UHFFFAOYSA-N,,,,,,,COC1CC(CCC1NC1NC(N)C(CL)C(NC2CCCCC2S(=O)(=O)C(C)C)N1)N1CCC(CC1)C(N)=O
MQQNFDZXWVTQEH-UHFFFAOYSA-N,,,,,,Nafamostat,NC(=N)NC1CCC(CC1)C(=O)OC1CCC2CC(CCC2C1)C(N)=N
YRRAGUMVDQQZIY-UHFFFAOYSA-N,,,,,,,OC1CCC(CC1O)C2OC3C(O)C(O)CC(O)C3C(=O)C2O
WHUWQSQEVISUMC-UHFFFAOYSA-N,,,,,,,CC(C)CN1CNC2N(C)C(=O)N(C)C(=O)C12
BMQGVNUXMIRLCK-VCPXPHFHSA-N,,,,,,,CO[C@@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@@H](OC(=O)C3CCCCC3)[C@@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4CCCCC4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C
TZXKOCQBRNJULO-UHFFFAOYSA-N,V,V03,V03A,V03AC,V03AC02,Deferiprone,CC1C(O)C(=O)CCN1C
SNUDIPVBUUXCDG-MXYBEHONSA-N,,,,,,,C[C@@H](O)[C@@H]1[C@@H]2[C@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C
ZFMITUMMTDLWHR-UHFFFAOYSA-N,D,D11,D11A,D11AX,D11AX01,Minoxidil,NC1CC(NC(N)[N+]1[O-])N1CCCCC1
LUJZZYWHBDHDQX-QFIPXVFZSA-N,,,,,,BMS-599626,CC1C(NC(=O)OC[C@@H]2COCCN2)CN2NCNC(NC3CCC4N(CC5CCCC(F)C5)NCC4C3)C12
GIMSJJHKKXRFGV-BYPJNBLXSA-N,,,,,,Fiacitabine,NC1NC(=O)N(CC1I)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
IEDVJHCEMCRBQM-UHFFFAOYSA-N,J,J04,J04A,J04AM,J04AM08,Trimethoprim,COC1CC(CC2CNC(N)NC2N)CC(OC)C1OC
DERZBLKQOCDDDZ-JLHYYAGUSA-N,N,N07,N07C,N07CA,N07CA52,Cinnarizine,C(/C=C/C1CCCCC1)N2CCN(CC2)C(C3CCCCC3)C4CCCCC4
YHXISWVBGDMDLQ-UHFFFAOYSA-N,N,N06,N06A,N06AG,N06AG02,Moclobemide,CLC1CCC(CC1)C(=O)NCCN1CCOCC1
XDLYKKIQACFMJG-WKILWMFISA-N,,,,,,PF-04691502,COC1CCC(CN1)-C1CC2C(C)NC(N)NC2N([C@H]2CC[C@@H](CC2)OCCO)C1=O
VFLDPWHFBUODDF-FCXRPNKRSA-N,,,,,,Curcumin,COC1CC(CCC1O)\C=C\C(=O)CC(=O)\C=C\C1CCC(O)C(OC)C1
QNQZBKQEIFTHFZ-GOSISDBHSA-N,,,,,,Dexloxiglumide,CCCCCN(CCCOC)C(=O)[C@@H](CCC(O)=O)NC(=O)C1CCC(CL)C(CL)C1
PKCDDUHJAFVJJB-FQFBAAABSA-N,,,,,,,C[C@@]1(O)CC(C1)C1NC(-C2CCC3CCC(NC3C2)-C2CCCCC2)C2C(N)NCCN12
BTIHMVBBUGXLCJ-OAHLLOKOSA-N,,,,,,Seliciclib,CC[C@H](CO)NC1NC(NCC2CCCCC2)C2NCN(C(C)C)C2N1
KEECCEWTUVWFCV-UHFFFAOYSA-N,,,,,,,CCN(CC)CCNC(=O)C1CCC(NC(C)=O)CC1
NYPIRLYMDJMKGW-VPCXQMTMSA-N,,,,,,,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1CCC(N)NC1=O
UPNUIXSCZBYVBB-JVFUWBCBSA-N,A,A06,A06A,A06AH,A06AH02,Alvimopan,C[C@H]1CN(C[C@H](CC2CCCCC2)C(=O)NCC(O)=O)CC[C@@]1(C)C1CCCC(O)C1
LMXYVLFTZRPNRV-KMKOMSMNSA-N,,,,,,,OC1C(BR)CC(CC1BR)\C=C1/C(=O)NC2CCC(I)CC12
XKFTZKGMDDZMJI-HSZRJFAPSA-N,,,,,,Danusertib,CO[C@@H](C(=O)N1CC2[NH]NC(NC(=O)C3CCC(CC3)N3CCN(C)CC3)C2C1)C1CCCCC1
WWVANQJRLPIHNS-ZKWXMUAHSA-N,,,,,,2-Iminobiotin,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,,,,,,Arbutin,OC[C@H]1O[C@@H](OC2CCC(O)CC2)[C@H](O)[C@@H](O)[C@@H]1O
AAAQFGUYHFJNHI-SFHVURJKSA-N,,,,,,,CCNC(=O)C[C@@H]1N=C(C2CCC(CL)CC2)C2CC(OC)CCC2-N2C(C)NNC12
QDGZDCVAUDNJFG-FXQIFTODSA-N,J,J05,J05A,J05AF,J05AF10,Entecavir,NC1NC(=O)C2NCN([C@H]3C[C@H](O)[C@@H](CO)C3=C)C2[NH]1
UFPFGVNKHCLJJO-SSKFGXFMSA-N,,,,,,LCL-161,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1C1NC(CS1)C(=O)C1CCC(F)CC1
DCOPUUMXTXDBNB-UHFFFAOYSA-N,S,S01,S01C,S01CC,S01CC01,Diclofenac,OC(=O)CC1CCCCC1NC1C(CL)CCCC1CL
UWKQSNNFCGGAFS-XIFFEERXSA-N,L,L01,L01X,L01XX,L01XX19,Irinotecan,CCC1C2CN3C(CC4C(COC(=O)[C@]4(O)CC)C3=O)-C2NC2CCC(OC(=O)N3CCC(CC3)N3CCCCC3)CC12
LDXDSHIEDAPSSA-OAHLLOKOSA-N,,,,,,Ramatroban,OC(=O)CCN1C2CC[C@H](CC2C2CCCCC12)NS(=O)(=O)C1CCC(F)CC1
GSCPDZHWVNUUFI-UHFFFAOYSA-N,,,,,,,NC(=O)C1CCCC(N)C1
WVUNYSQLFKLYNI-AATRIKPKSA-N,,,,,,Pelitinib,CCOC1CC2NCC(C#N)C(NC3CCC(F)C(CL)C3)C2CC1NC(=O)\C=C\CN(C)C
FTVWIRXFELQLPI-ZDUSSCGKSA-N,,,,,,Naringenin,OC1CCC(CC1)[C@@H]1CC(=O)C2C(O)CC(O)CC2O1
NNRFRJQMBSBXGO-CIUDSAMLSA-N,,,,,,,N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(O)=O
CPZBLNMUGSZIPR-NVXWUHKLSA-N,A,A04,A04A,A04AA,A04AA55,Palonosetron,O=C1N(C[C@H]2CCCC3CCCC1C23)[C@@H]1CN2CCC1CC2
BDJRBEYXGGNYIS-UHFFFAOYSA-N,D,D10,D10A,D10AX,D10AX03,Azelaic acid,OC(=O)CCCCCCCC(O)=O
BUROJSBIWGDYCN-HSPIJORXSA-N,,,,,,,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@@H]1OP(C)(C)=O
UNAZAADNBYXMIV-UHFFFAOYSA-N,,,,,,Otenabant,CCNC1(CCN(CC1)C1NCNC2N(C(NC12)-C1CCCCC1CL)-C1CCC(CL)CC1)C(N)=O
DPDZHVCKYBCJHW-UHFFFAOYSA-N,,,,,,,NC(=O)C1CCC(CC1)-C1NC(C([NH]1)-C1CCCCN1)-C1CCC2OCCOC2C1
AHMXYULEXZAPCS-VWLOTQADSA-N,,,,,,,FC1CCC(CN2CCCC(C(=O)N[C@@H](COC3CCC4[NH]C(=O)[NH]C4C3)C3CCCCC3)C2=O)CC1F
QCDFBFJGMNKBDO-UHFFFAOYSA-N,G,G01,G01A,G01AC,G01AC02,Clioquinol,OC1C(I)CC(CL)C2CCCNC12
JBPUGFODGPKTDW-SFHVURJKSA-N,,,,,,Merimepodib,COC1CC(NC(=O)NC2CCCC(CNC(=O)O[C@H]3CCOC3)C2)CCC1-C1CNCO1
WPVVMKYQOMJPIN-UHFFFAOYSA-N,,,,,,,NC1CCN(CC1)C1CCCC(CL)N1
ROWSTIYZUWEOMM-UHFFFAOYSA-N,,,,,,,CN(C)CCNC1NC2CC(O)CCC2C2-C3CCCCC3C(=O)C12
GSDSWSVVBLHKDQ-JTQLQIEISA-N,J,J01,J01M,J01MA,J01MA12,Levofloxacin,C[C@H]1COC2C(N3CCN(C)CC3)C(F)CC3C2N1CC(C(O)=O)C3=O
KKTZALUTXUZPSN-UHFFFAOYSA-N,,,,,,,O=C1CC(OC2C3CCCCC3CCC12)N1CCOCC1
HBNPJJILLOYFJU-VMPREFPWSA-N,C,C08,C08C,C08CX,C08CX01,Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCC2NC3CCCCC3[NH]2)CCC2CC(F)CCC2[C@@H]1C(C)C
OHCQJHSOBUTRHG-KGGHGJDLSA-N,,,,,,Colforsin,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
BHLXTPHDSZUFHR-UHFFFAOYSA-N,,,,,,Varespladib,CCC1C(C(=O)C(N)=O)C2C(OCC(O)=O)CCCC2N1CC1CCCCC1
BFSMGDJOXZAERB-UHFFFAOYSA-N,L,L01,L01X,L01XE,L01XE23,Dabrafenib,CC(C)(C)C1NC(C(S1)-C1CCNC(N)N1)-C1CCCC(NS(=O)(=O)C2C(F)CCCC2F)C1F
ZRHRPGSSSVYBRG-UHFFFAOYSA-N,,,,,,,IC1CCCC(CSC2NNC(O2)C3CCNCC3)C1
NCEXYHBECQHGNR-QZQOTICOSA-N,A,A07,A07E,A07EC,A07EC01,Sulfasalazine,OC(=O)C1CC(CCC1O)\N=N\C1CCC(CC1)S(=O)(=O)NC1CCCCN1
VYMDGNCVAMGZFE-UHFFFAOYSA-N,M,M01,M01B,M01BA,M01BA01,Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C1CCCCC1)C1CCCCC1
DKJJVAGXPKPDRL-UHFFFAOYSA-N,M,M05,M05B,M05BA,M05BA05,Tiludronic acid,OP(O)(=O)C(SC1CCC(CL)CC1)P(O)(O)=O
MIQPIUSUKVNLNT-UHFFFAOYSA-N,N,N04,N04B,N04BX,N04BX01,Tolcapone,CC1CCC(CC1)C(=O)C1CC(O)C(O)C(C1)[N+]([O-])=O
XTRUQJBVQBUKSQ-UHFFFAOYSA-N,,,,,,,CC(C)OC(=O)N1CCC(CC1)OC1NCNC2N(NCC12)-C1CCC(CC1F)S(C)(=O)=O
GGXICVAJURFBLW-CEYXHVGTSA-N,S,S01,S01E,S01EE,S01EE01,Latanoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1CCCCC1
ALCSGJCIESECFD-UHFFFAOYSA-N,,,,,,,NC(=O)CCCCN1CCC(N1)\N=C(/N)NCC(F)(F)F
DJKNRCWSXSZACF-UHFFFAOYSA-N,,,,,,CP1-1189,CC(=O)NC1CCC(CC1)C(=O)NC(C)(C)C
HEMJJKBWTPKOJG-UHFFFAOYSA-N,C,C10,C10A,C10AB,C10AB04,Gemfibrozil,CC1CCC(C)C(OCCCC(C)(C)C(O)=O)C1
MDOJTZQKHMAPBK-UHFFFAOYSA-N,,,,,,Iniparib,NC(=O)C1CCC(I)C(C1)[N+]([O-])=O
OGJPXUAPXNRGGI-UHFFFAOYSA-N,J,J01,J01R,J01RA,J01RA13,Norfloxacin,CCN1CC(C(O)=O)C(=O)C2CC(F)C(CC12)N1CCNCC1
KDGFLJKFZUIJMX-UHFFFAOYSA-N,L,L01,L01X,L01XE,L01XE36,Alectinib,CCC1CC2C(=O)C3C([NH]C4CC(CCC34)C#N)C(C)(C)C2CC1N1CCC(CC1)N1CCOCC1
ICFJFFQQTFMIBG-UHFFFAOYSA-N,A,A10,A10B,A10BA,A10BA01,Phenformin,NC(=N)NC(=N)NCCC1CCCCC1
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,B,B01,B01A,B01AC,B01AC06,Acetylsalicylic acid,CC(=O)OC1CCCCC1C(O)=O
QTQAWLPCGQOSGP-KSRBKZBZSA-N,,,,,,Geldanamycin,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
WHQCHUCQKNIQEC-UHFFFAOYSA-N,M,M04,M04A,M04AB,M04AB03,Benzbromarone,CCC1OC2CCCCC2C1C(=O)C1CC(BR)C(O)C(BR)C1
QQHMKNYGKVVGCZ-UHFFFAOYSA-N,,,,,,Tipiracil,CLC1C(CN2CCCC2=N)[NH]C(=O)[NH]C1=O
LZMOSYUFVYJEPY-UHFFFAOYSA-N,,,,,,4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,CLC1CCC(CC1)C1(CCNCC1)C1CCC(CC1)-C1CN[NH]C1
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,,,,,,Dactolisib,CN1C2CNC3CCC(CC3C2N(-C2CCC(CC2)C(C)(C)C#N)C1=O)-C1CNC2CCCCC2C1
ZJJXGWJIGJFDTL-UHFFFAOYSA-N,A,A10,A10B,A10BB,A10BB07,Glipizide,CC1CNC(CN1)C(=O)NCCC1CCC(CC1)S(=O)(=O)NC(=O)NC1CCCCC1
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,L,L01,L01X,L01XE,L01XE25,Trametinib,CC(=O)NC1CCCC(C1)-N1C2C(C)C(=O)N(C)C(NC3CCC(I)CC3F)C2C(=O)N(C2CC2)C1=O
DDUHZTYCFQRHIY-CQLKUDPESA-N,,,,,,,COC1CC(OC)C(CL)C2O[C@@]3([C@H](C)CC(=O)C=C3OC)C(=O)C12
JOOXLOJCABQBSG-UHFFFAOYSA-N,,,,,,Fedratinib,CC1CNC(NC2CCC(OCCN3CCCC3)CC2)NC1NC1CCCC(C1)S(=O)(=O)NC(C)(C)C
CKHJPWQVLKHBIH-GPAWKIAZSA-N,A,A11,A11D,A11DA,A11DA02,Sulbutiamine,CC(C)C(=O)OCC\C(SS\C(CCOC(=O)C(C)C)=C(/C)N(CC1CNC(C)NC1N)C=O)=C(\C)N(CC1CNC(C)NC1N)C=O
CKSJXOVLXUMMFF-UHFFFAOYSA-N,,,,,,,CCCCCCOC1CCCCC1C(N)=O
JMGXJHWTVBGOKG-UHFFFAOYSA-N,,,,,,TG-100801,CC1CC(CC2NNC(NC3CCC(OCCN4CCCC4)CC3)NC12)-C1CC(OC(=O)C2CCCCC2)CCC1CL
JNAHVYVRKWKWKQ-ZDUSSCGKSA-N,,,,,,,C[C@]1(CCCN1)C1NC2C(CCCC2[NH]1)C(N)=O
XGPBJCHFROADCK-UHFFFAOYSA-N,,,,,,,CN1CCCN(CC1)C1CCC2C(N1)N1C3CCCCC3SC1C(C(=O)NCC1CNC(C)CN1)C2=O
MAUCONCHVWBMHK-UHFFFAOYSA-N,,,,,,Abexinostat,CN(C)CC1C(OC2CCCCC12)C(=O)NCCOC1CCC(CC1)C(=O)NO
ILAYIAGXTHKHNT-UHFFFAOYSA-N,G,G01,G01A,G01AX,G01AX17,Dapivirine,CC1CC(C)C(NC2CCNC(NC3CCC(CC3)C#N)N2)C(C)C1
MNHXYNNKDDXKNP-UHFFFAOYSA-N,,,,,,,CCC1CCC2C(NC(=O)N(CC)C2N1)-C1CCCC(CL)C1
LNPDTQAFDNKSHK-UHFFFAOYSA-N,M,M01,M01A,M01AH,M01AH03,Valdecoxib,CC1ONC(C1-C1CCC(CC1)S(N)(=O)=O)-C1CCCCC1
QAWIHIJWNYOLBE-ZAFYKAAXSA-N,,,,,,,N[C@H]([C@@H]1CC(CL)=NO1)C(O)=O
TXZPMHLMPKIUGK-UHFFFAOYSA-N,,,,,,,COC1CCCCC1S(=O)(=O)NC1CCC2NC(=O)N(C)CC2C1
HKVAMNSJSFKALM-MUKRYTAKSA-N,,,,,,,CO[C@@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
XDRYMKDFEDOLFX-UHFFFAOYSA-N,P,P01,P01C,P01CX,P01CX01,Pentamidine,NC(=N)C1CCC(OCCCCCOC2CCC(CC2)C(N)=N)CC1
JZCPYUJPEARBJL-UHFFFAOYSA-N,A,A08,A08A,A08AX,A08AX01,Rimonabant,CC1C(NN(C1-C1CCC(CL)CC1)-C1CCC(CL)CC1CL)C(=O)NN1CCCCC1
FLOSMHQXBMRNHR-UHFFFAOYSA-N,S,S01,S01E,S01EC,S01EC05,Methazolamide,CC(=O)N=C1SC(NN1C)S(N)(=O)=O
OVPNQJVDAFNBDN-UHFFFAOYSA-N,,,,,,AT-7519,CLC1CCCC(CL)C1C(=O)NC1C[NH]NC1C(=O)NC1CCNCC1
HKVAMNSJSFKALM-GKUWKFKPSA-N,L,L01,L01X,L01XE,L01XE10,Everolimus,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
PSPFQEBFYXJZEV-UHFFFAOYSA-N,,,,,,,CC1CNC2C(NCCN)NC3CCC(C)CC3N12
BMGQWWVMWDBQGC-IIFHNQTCSA-N,L,L01,L01X,L01XE,L01XE39,Midostaurin,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3CCCCC3C3C4CNC(=O)C4C4C5CCCCC5N2C4C13)N(C)C(=O)C1CCCCC1
PIMQWRZWLQKKBJ-SFHVURJKSA-N,,,,,,Dinaciclib,CCC1CNN2C(NCC3CCC[N+]([O-])C3)CC(NC12)N1CCCC[C@H]1CCO
YUUGYIUSCYNSQR-LBPRGKRZSA-N,,,,,,Bitopertin,C[C@H](OC1CCC(CC1C(=O)N1CCN(CC1)C1NCC(CC1F)C(F)(F)F)S(C)(=O)=O)C(F)(F)F
WUFQLZTXIWKION-UHFFFAOYSA-N,,,,,,,C1CN2CC3CCCCC3N=C2C1
SECKRCOLJRRGGV-UHFFFAOYSA-N,G,G04,G04B,G04BE,G04BE09,Vardenafil,CCCC1NC(C)C2N1NC([NH]C2=O)-C1CC(CCC1OCC)S(=O)(=O)N1CCN(CC)CC1
SYYBDNPGDKKJDU-ZDUSSCGKSA-N,,,,,,Rabusertib,CC1CNC(NC(=O)NC2CC(BR)C(C)CC2OC[C@@H]2CNCCO2)CN1
MTMDXAIUENDNDL-RJSMDTJLSA-N,,,,,,,CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@](C1)(C(C)C)C(=O)N1CCC2NCC(CC2C1)C(F)(F)F
QNOCRUSVMMAKSC-CCEZHUSRSA-N,,,,,,,CN1C(=O)\C(C2CCCCC12)=C1\C(=O)NC2CCCCC12
VWAUPFMBXBWEQY-IVAOSVALSA-N,,,,,,,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(O)CC=C
ONDYALNGTUAJDX-UHFFFAOYSA-N,,,,,,Tasquinimod,COC1CCCC2N(C)C(=O)C(C(=O)N(C)C3CCC(CC3)C(F)(F)F)C(O)C12
VDUWPHTZYNWKRN-UHFFFAOYSA-N,J,J01,J01M,J01MB,J01MB06,Cinoxacin,CCN1NC(C(O)=O)C(=O)C2CC3OCOC3CC12
YBHILYKTIRIUTE-UHFFFAOYSA-N,,,,,,Berberine,COC1CCC2CC3-C4CC5OCOC5CC4CC[N+]3CC2C1OC
KXMZDGSRSGHMMK-VWLOTQADSA-N,,,,,,R-428,NC1NC(NC2CCC3CC[C@@H](CCC3C2)N2CCCC2)NN1-C1CC2CCCC3CCCCC3-C2NN1
ORRZGUBHBVWWOP-UHFFFAOYSA-N,R,R07,R07A,R07AB,R07AB05,Bemegride,CCC1(C)CC(=O)NC(=O)C1
KBUZBQVCBVDWKX-UHFFFAOYSA-N,S,S01,S01G,S01GX,S01GX06,Emedastine,CCOCCN1C(NC2CCCCC12)N1CCCN(C)CC1
SDUQYLNIPVEERB-QPPQHZFASA-N,L,L01,L01B,L01BC,L01BC05,Gemcitabine,NC1CCN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1
FXUAIOOAOAVCGD-WCTZXXKLSA-N,,,,,,Tridolgosir,O[C@@H]1CN2CCC[C@@H](O)[C@@H]2[C@@H]1O
BLMPQMFVWMYDKT-NZTKNTHTSA-N,L,L01,L01X,L01XX,L01XX45,Carfilzomib,CC(C)C[C@H](NC(=O)[C@H](CCC1CCCCC1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
LPLVUJXQOOQHMX-FKSWRZCVSA-N,,,,,,,C[C@]12CC[C@@](C)(C[C@H]1C1=CC(=O)[C@@H]3[C@]4(C)CC[C@H](O[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C(O)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O
MDLAAYDRRZXJIF-UHFFFAOYSA-N,N,N05,N05A,N05AG,N05AG03,Penfluridol,OC1(CCN(CCCC(C2CCC(F)CC2)C2CCC(F)CC2)CC1)C1CCC(CL)C(C1)C(F)(F)F
ANMATWQYLIFGOK-UHFFFAOYSA-N,,,,,,Iguratimod,CS(=O)(=O)NC1CC2OCC(NC=O)C(=O)C2CC1OC1CCCCC1
NQDJXKOVJZTUJA-UHFFFAOYSA-N,J,J05,J05A,J05AG,J05AG01,Nevirapine,CC1CCNC2C1NC(=O)C1CCCNC1N2C1CC1
CXGTZJYQWSUFET-IBGZPJMESA-N,,,,,,Tesaglitazar,CCO[C@@H](CC1CCC(OCCC2CCC(OS(C)(=O)=O)CC2)CC1)C(O)=O
XQYZDYMELSJDRZ-UHFFFAOYSA-N,G,G04,G04B,G04BE,G04BE02,Papaverine,COC1CCC(CC2NCCC3CC(OC)C(OC)CC23)CC1OC
ILBRKJBKDGCSCB-UHFFFAOYSA-N,,,,,,,COC1CC2NCNC(-N3NC(NC3N)-C3CCCCN3)C2CC1OC
RTXOFQZKPXMALH-GHXIOONMSA-N,J,J01,J01D,J01DD,J01DD15,Cefdinir,NC1NC(CS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O
VNFPBHJOKIVQEB-UHFFFAOYSA-N,D,D01,D01A,D01AC,D01AC01,Clotrimazole,CLC1CCCCC1C(C1CCCCC1)(C1CCCCC1)N1CCNC1
UHSKFQJFRQCDBE-UHFFFAOYSA-N,N,N04,N04B,N04BC,N04BC04,Ropinirole,CCCN(CCC)CCC1CCCC2NC(=O)CC12
IQFYYKKMVGJFEH-CSMHCCOUSA-N,J,J05,J05A,J05AF,J05AF11,Telbivudine,CC1CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)[NH]C1=O
VCPMZDWBEWTGNW-UHFFFAOYSA-N,,,,,,Z-160,O=C(CC(C1CCCCC1)C1CCCCC1)N1CCN(CC1)C(C1CCCCC1)C1CCCCC1
