name,atc
tetryzoline,R01AB03
Selective serotonin reuptake inhibitors,N06AB
pitofenone and analgesics,A03DA02
carfecillin,G01AA08
flunisolide,R01AD04
triflusal,B01AC18
fluvoxamine,N06AB08
ciprofloxacin and ornidazole,J01RA12
bilastine,R06AX29
efaproxiral,L01XD06
minaprine,N06AX07
mannitol,A06AD16
artemether and lumefantrine,P01BF01
paclitaxel poliglumex,L01CD03
heparin,S01XA14
peginesatide,B03XA04
metirosine,C02KB01
atorvastatin and ezetimibe,C10BA05
mesoridazine,N05AC03
Other renal system diagnostic radiopharmaceuticals in ATC,V09CX
netilmicin,J01GB07
camylofin and analgesics,A03DA05
andexanet alfa,V03AB38
ferrous succinate,B03AA06
DIET FORMULATIONS FOR TREATMENT OF OBESITY,V06A
gadobutrol,V08CA09
insulin detemir,A10AE05
acetazolamide,S01EC01
nitrofural,D09AA03
absorbable gelatin sponge,B02BC01
"Technetium 99m compounds, hepatic and reticulo endothelial system diagnostic radiopharmaceuticals",V09DA
"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",J07BM03
trandolapril,C09AA10
Non-watersoluble X-ray contrast media,V08AD
josamycin,J01FA07
aprotinin,B02AB01
Antiinfectives and antiseptics for local oral treatment,A01AB
gonadotropin combinations,G03GA30
sulbentine,D01AE09
ANTISEPTICS AND DISINFECTANTS,D08A
Mental or Behavioral Dysfunction,T048
natalizumab,L04AA23
xylometazoline,R01AB06
succinimide,G04BX10
brinzolamide,S01EC04
methylscopolamine,A03BB03
Biologic Function,T038
Qualitative Concept,T080
OTHER ANTIANEMIC PREPARATIONS in ATC,B03X
tiadenol,C10AX03
epinephrine,R03AA01
Clinical Attribute,T201
dienogest and estrogen,G03FA15
VASODILATORS USED IN CARDIAC DISEASES,C01D
ampicillin,S01AA19
diphtheria-rubella-tetanus,J07CA03
sodium stibogluconate,P01CB02
triprolidine,R06AX07
antacids containing aluminium compounds,A02AB
"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",G03C
sertindole,N05AE03
multivitamins and calcium,A11AA02
ANTIFUNGALS FOR SYSTEMIC USE,D01B
allylestrenol,G03DC01
iohexol,V08AB02
fosfocreatine,C01EB06
tetracaine,N01BA03
Antihistamines for topical use,D04AA
cilazapril and diuretics,C09BA08
panobinostat,L01XX42
brodimoprim,J01EA02
"hemophilus influenzae B, combinations with pertussis and toxoids",J07AG52
secnidazole,P01AB07
fesoterodine,G04BD11
ubidecarenone,C01EB09
canagliflozin,A10BK02
mannitol,B05BC01
Regulation or Law,T089
ACE inhibitors and diuretics,C09BA
VASOPROTECTIVES,C05
etynodiol and estrogen,G03FA06
carfilzomib,L01XX45
eluxadoline,A07DA06
indium (111In) satumomab pendetide,V09IB02
ethanol,V03AB16
dextranomer,D03AX02
tetanus toxoid,J07AM01
collagenase clostridium histolyticum,M09AB02
sitaxentan,C02KX03
tropisetron,A04AA03
"Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE
Eukaryote,T204
etanercept,L04AB01
"phenazone, combinations with psycholeptics",N02BB71
"Antivirals, topical",D06BB
edetates,V03AB03
"mumps, live attenuated",J07BE01
Salicylic acid emollient and protective preparations,D02AF
nintedanib,L01XE31
cloranolol,C07AA27
calcium acetate and magnesium carbonate,V03AE04
methenamine,J01XX05
natural phospholipids,R07AA02
bencyclane,C04AX11
"clonidine and diuretics, combinations with other drugs",C02LC51
tolmetin,M02AA21
catridecacog,B02BD11
clonidine,C02AC01
Psoralens for topical use,D05AD
Steroid antibacterials,J01XC
tiratricol,D11AX08
"insulins and analogs for injection combinations, long-acting",A10AE30
cocaine,S02DA02
"Diphenylmethane derivatives, anxiolytics",N05BB
"Beta blocking agents, other combinations",C07FX
amoxapine,N06AA17
iloperidone,N05AX14
bendroflumethiazide and potassium-sparing agents,C03EA13
piroxicam,M01AC01
calcium acetate,V03AE07
magnesium sulfate,A06AD04
adalimumab,L04AB04
technetium (99mTc) tetrofosmin,V09GA02
ofloxacin and ornidazole,J01RA09
calcium (different salts in combination),A12AA20
iproclozide,N06AF06
Drugs for treatment of hypoglycemia,V03AH
allopurinol,M04AA01
varenicline,N07BA03
tivozanib,L01XE34
ANTIANDROGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03H
dexamethasone,D10AA03
"methocarbamol, combinations with psycholeptics",M03BA73
tetracaine,C05AD02
Angiotensin II antagonists and calcium channel blockers,C09DB
Synthetic anticholinergic agents in combination with psycholeptics,A03CA
dequalinium,G01AC05
technetium (99mTc) sulfur colloid,V09DB05
"iron, multivitamins and minerals",B03AE04
gallopamil,C08DA02
terazosin,G04CA03
decamethrin,P03BA03
emepronium and psycholeptics,A03CA30
fluspirilene,N05AG01
procaine,C05AD05
magnesium oxide,A12CC10
opium derivatives and expectorants,R05FA02
Human-caused Phenomenon or Process,T068
enoxaparin,B01AB05
cathine,A08AA07
dexketoprofen,M01AE17
ibuprofen,M01AE01
metformin,A10BA02
batroxobin,B02BX03
zidovudine and lamivudine,J05AR01
"Beta blocking agents, selective, and thiazides",C07BB
demecarium,S01EB04
BACTERIAL VACCINES,J07A
Other cough suppressants and expectorants in ATC,R05FB
cromoglicic acid,S01GX01
cloridarol,C01DX15
prenalterol,C01CA13
tetryzoline,R01AA06
pirarubicin,L01DB08
"colecalciferol, combinations",A11CC55
radium (223Ra) dichloride,V10XX03
flurithromycin,J01FA14
acetyldihydrocodeine,R05DA12
metformin and saxagliptin,A10BD10
proxymetacaine,S01HA04
benzathine phenoxymethylpenicillin,J01CE10
"Vinca alkaloids and analogues, antineoplastic",L01CA
"Watersoluble, hepatotropic X-ray contrast media",V08AC
levacetylmethadol,N07BC03
Caries prophylactic agents,A01AA
policosanol,C10AX08
guanazodine,C02CC06
tretoquinol,R03CC09
fluostigmine,S01EB07
capecitabine,L01BC06
"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03B
"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A
desogestrel,G03AC09
"zidovudine, lamivudine and abacavir",J05AR04
tibezonium iodide,A01AB15
OTOLOGICALS,S02
DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03E
celiprolol,C07AB08
inositol,A11HA07
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A
"dodeclonium bromide, combinations",D08AJ59
"pilocarpine, combinations",S01EB51
carboprost,G02AD04
siltuximab,L04AC11
erythromycin,J01FA01
Vitamin IV solution additives,B05XC
iopydol,V08AD02
polymyxin B,S02AA11
talastine,R06AB07
leflunomide,L04AA13
piperacillin,J01CA12
gentamicin,S02AA14
yohimbine,G04BE04
oxomemazine,R06AD08
chondroitin sulfate,M01AX25
"Phenothiazine derivatives, systemic antihistamines",R06AD
alum,S01XA07
Other antifungals for topical use in ATC,D01AE
fluocortolone and antiinfectives,S01CA04
fludiazepam,N05BA17
follitropin alfa,G03GA05
"lansoprazole, amoxicillin and levofloxacin",A02BD10
sarilumab,L04AC14
desoxycortone,H02AA03
"Corticosteroids, weak (group I)",D07AA
meclofenamic acid,M02AA18
chloramphenicol,D06AX02
arterolane and piperaquine,P01BX02
teicoplanin,J01XA02
demeclocycline,J01AA01
sulfadiazine,J01EC02
metamizole sodium,N02BB02
MINERAL SUPPLEMENTS,A12
amisulpride,N05AL05
vitamin A concentrates,V04CB01
fluorometholone and antiinfectives,S01CA07
fenoterol and ipratropium bromide,R03AL01
tetracycline,S01AA09
stavudine,J05AF04
Other anti-dementia drugs in ATC,N06DX
cetuximab,L01XC06
CALCIUM CHANNEL BLOCKERS,C08
veratrum,C02KA01
cefaloridine,J01DB02
amiloride,C03DB01
sulfobromophthalein,V04CE02
phenprobamate,M03BA01
Vitamin D and analogues,A11CC
"Oxazolidine derivatives, antiepileptics",N03AC
oxametacin,M01AB13
"limbal stems cells, autologous",S01XA19
"chlorphenamine, combinations",R06AB54
papaverine,A03AD01
fenetylline,N06BA10
barnidipine,C08CA12
vinflunine,L01CA05
benzydamine,G02CC03
bitolterol,R03AC17
benzoyl peroxide,D10AE01
thyrotropin alfa,H01AB01
naftifine,D01AE22
cinnarizine,N07CA02
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,A16A
deferoxamine,V03AC01
ornidazole,J01XD03
styramate,M03BA04
dexibuprofen,M01AE14
cefozopran,J01DE03
artesunate and pyronaridine,P01BF06
lymecycline,J01AA04
dibutylphthalate,P03BX03
bufexamac,M02AA09
"codeine, combinations excl. psycholeptics",N02AA59
OTHER ANTIHYPERTENSIVES in ATC,C02K
betaine,A16AA06
cefdinir,J01DD15
modafinil,N06BA07
tiagabine,N03AG06
Other dopaminergic agents in ATC,N04BX
Coxibs,M01AH
monoxerutin,C05CA02
dasatinib,L01XE06
"Technetium 99m compounds, inflammation and infection detection radiopharmaceuticals",V09HA
chenodeoxycholic acid,A05AA01
orphenadrine (citrate),M03BC01
fluocinonide,D07AC08
meprotixol,R05DB22
Carbohydrate nutrients,V06DC
lidocaine,C01BB01
captodiame,N05BB02
Benzodiazepine derivative antiepileptics,N03AE
betazole,V04CG02
Rabies vaccines,J07BG
BLOOD AND RELATED PRODUCTS,B05A
methylthioninium chloride,V04CG05
dextromethorphan,R05DA09
dydrogesterone,G03DB01
"Nucleic Acid, Nucleoside, or Nucleotide",T114
"ACE inhibitors, other combinations in ATC",C09BX
"measles, combinations with mumps, live attenuated",J07BD51
levomepromazine,N05AA02
Diphtheria vaccines,J07AF
polystyrene sulfonate,V03AE01
thonzylamine,R01AC06
ethinylestradiol,G03CA01
meticillin,J01CF03
metipranolol,S01ED04
tolazoline,C04AB02
clidinium and psycholeptics,A03CA02
cefoperazone and beta-lactamase inhibitor,J01DD62
hexobendine,C01DX06
ioversol,V08AB07
melperone,N05AD03
flurazepam,N05CD01
pantethine,A11HA32
ferric proteinsuccinylate,B03AB09
raltitrexed,L01BA03
Corticosteroids for local oral treatment,A01AC
bisoprolol and thiazides,C07BB07
glycopyrronium bromide and psycholeptics,A03CA05
glatiramer acetate,L03AX13
diflunisal,N02BA11
paricalcitol,H05BX02
sodium bicarbonate,B05XA02
alogliptin,A10BH04
albumin,B05AA01
lisuride,N02CA07
"Technetium 99m compounds, renal system diagnostic radiopharmaceuticals",V09CA
coagulation factor IX,B02BD04
phenazopyridine,G04BX06
miconazole,D01AC02
sodium selenate,A12CE01
guacetisal,N02BA14
chlortalidone and potassium-sparing agents,C03EA06
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03
electrolytes in combination with other drugs,B05BB04
OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC,C09X
"Sulfonamides, topical",D06BA
"Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",P01CA
azlocillin,J01CA09
"Serotonin (5HT3) antagonists, antiemetics and antinauseants",A04AA
Combinations of adrenergics,R03AH
carisbamate,N03AX19
mometasone,D07XC03
CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C
"timolol, combinations",S01ED51
donepezil,N06DA02
Polymyxins,J01XB
ivacaftor,R07AX02
"encephalitis, Japanese, live attenuated",J07BA03
"oxyfedrine, combinations",C01DX53
enalapril and diuretics,C09BA02
Typhus (exanthematicus) vaccines,J07AR
mepyramine,D04AA02
arsthinol,P01AR01
oxyphenonium,A03AB03
simvastatin and acetylsalicylic acid,C10BX01
"Pyrazolone derivatives, high-ceiling diuretics",C03CD
Other agents against amoebiasis and other protozoal diseases in ATC,P01AX
glimepiride,A10BB12
IMMUNOGLOBULINS,J06B
sitagliptin and simvastatin,A10BH51
tromantadine,D06BB02
Corticosteroids and antiinfectives in combination,S03CA
ticarcillin and beta-lactamase inhibitor,J01CR03
indium (111In) imciromab,V09GX02
fenoverine,A03AX05
diazoxide,C02DA01
"omeprazole, amoxicillin and metronidazole",A02BD01
Quinine and derivatives for DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09AA
mephenytoin,N03AB04
"potassium chloride, combinations",A12BA51
clonidine and diuretics,C02LC01
mogamulizumab,L01XC25
triptorelin,L02AE04
oxygen,V03AN01
obidoxime,V03AB13
interferon beta-1b,L03AB08
ajmaline,C01BA05
sparfloxacin,J01MA09
methoxsalen,D05AD02
ethisterone and estrogen,G03FA03
topiramate,N03AX11
sotalol and acetylsalicylic acid,C07FX02
trihexyphenidyl,N04AA01
"epinephrine, combinations",S01EA51
diclofenac,D11AX18
cannabinoids,N02BG10
Opioids in combination with antispasmodics,N02AG
betamethasone and antiinfectives,S03CA06
clometocillin,J01CE07
Lincosamides,J01FF
"vitamin C products, plain",A11GA
itopride,A03FA07
hydrocortisone,S02BA01
metformin and sitagliptin,A10BD07
fluocinonide,C05AA11
"Beta-lactamase inhibitors, systemic penicillins",J01CG
naftidrofuryl,C04AX21
"Substituted ethylene diamines, systemic antihistamines",R06AC
niceritrol,C10AD01
Vitamin B1 in combination with vitamin B6 and/or vitamin B12,A11DB
foscarnet,J05AD01
deserpidine and diuretics,C02LA03
Temporal Concept,T079
paraldehyde,N05CC05
Other hormone antagonists and related agents in ATC,L02BX
ANTIVARICOSE THERAPY DRUGS,C05B
"metronidazole, combinations",P01AB51
temsirolimus,L01XE09
"Phenylalkylamine derivatives, non-selective calcium channel blockers",C08EA
xibornol,J01XX02
tolbutamide,V04CA01
pamidronic acid,M05BA03
Aldehydes and derivatives,N05CC
procyclidine,N04AA04
Antiinfective irrigating solution combinations,B05CA10
tolperisone,M03BX04
IODINE THERAPY DRUGS,H03C
nizofenone,N06BX10
fenoterol,G02CA03
"Proteinase inhibitors, antifibrinolytic",B02AB
Guanidine derivatives and diuretics,C02LF
"histapyrrodine, combinations",R06AC52
panipenem and betamipron,J01DH55
"lorazepam, combinations",N05BA56
ibandronic acid,M05BA06
magnesium carbonate,A06AD01
ethanol,V03AZ01
ribavirin,J05AP01
erythromycin,D10AF02
"immunoglobulins, normal human, for intravascular adm.",J06BA02
norgestrel and ethinylestradiol,G03AA06
glutamic acid hydrochloride,A09AB01
combination of rauwolfia alkaloids and diuretics incl. other combinations,C02LA50
technetium (99mTc) microcolloid,V09DB02
ioxilan,V08AB12
dropropizine,R05DB19
"Multivitamins, plain",A11BA
Belladonna and derivatives in combination with analgesics,A03DB
"Thiazides, combinations with psycholeptics and/or analgesics",C03AH
picotamide,B01AC03
phenelzine,N06AF03
gonadorelin,V04CM01
acetylsalicylic acid,B01AC06
citric acid,A09AB04
"Beta blocking agents, non-selective, and thiazides",C07BA
"fluorescein, combinations",S01JA51
"lactulose, combinations",A06AD61
Thiocarbamide derivatives for treatment of tuberculosis,J04AD
ANTIPSORIATICS,D05
OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC,G03X
buserelin,L02AE01
ornidazole,G01AF06
barium sulfate with suspending agents,V08BA01
phenindamine,R06AX04
pranoprofen,S01BC09
indometacin,C01EB03
salbutamol and beclometasone,R03AK13
aluminium acetoacetate,A02AB05
methionine,V03AB26
"pertussis, inactivated, whole cell, combinations with toxoids",J07AJ51
hexetidine,A01AB12
metoprolol,C07AB02
gallamine,M03AC02
cinchocaine,N01BB06
sulbactam,J01CG01
antimony pentasulfide,R05CA07
DRUGS FOR CONSTIPATION,A06A
crilanomer,D03AX09
miocamycin,J01FA11
ropivacaine,N01BB09
"Barbiturates for general anesthesia, plain",N01AF
promethazine,R06AD02
dinoprost,G02AD01
DERMATOLOGICALS,D
medroxyprogesterone,G03AC06
atropine and psycholeptics,A03CB03
rifapentine,J04AB05
"dihydroergocristine, combinations",C04AE54
acetrizoic acid,V08AA07
erenumab,N02CX07
almasilate,A02AD05
DRUGS USED IN DIABETES,A10
dexamethasone and antiinfectives,S01CA01
"influenza, inactivated, whole virus",J07BB01
Other chemotherapeutics in ATC,D06BX
indometacin and antiinfectives,S01CC02
Other agents against leishmaniasis and trypanosomiasis in ATC,P01CX
DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04C
Short-acting sulfonamides,J01EB
potassium iodide,S01XA04
piketoprofen,M02AA28
diethylcarbamazine,P02CB02
betaxolol,C07AB05
Allergen extracts,V01AA
Occupation or Discipline,T090
flupirtine,N02BG07
bamethan,C04AA31
sultopride,N05AL02
ANTIBACTERIALS FOR SYSTEMIC USE,J01
ceftezole,J01DB12
lisinopril and amlodipine,C09BB03
sirolimus,L04AA10
hydrocortisone,D07AA02
hydroxyethylpromethazine,R06AD05
cobicistat,V03AX03
aceneuramic acid,M09AX05
ferrous amino acid complex,B03AD01
amikacin,D06AX12
chlorphenamine,R06AB04
Hormone,T125
rescinnamine,C02AA01
"Corticosteroids, moderately potent, combinations with antiseptics",D07BB
celecoxib,L01XX33
atorvastatin and perindopril,C10BX15
ANTIPROPULSIVES,A07D
Other gynecologicals in ATC,G02CX
Ginkgo folium,N06DX02
meticrane,C03BA09
naratriptan,N02CC02
Other drugs for disorders of the musculo-skeletal system in ATC,M09AX
Chlorine containing product ectoparasiticides,P03AB
laquinimod,N07XX10
theodrenaline,C01CA23
oxiracetam,N06BX07
opipramol,N06AA05
DRUGS FOR ACID RELATED DISORDERS,A02
metoprolol and felodipine,C07FB02
iobenguane (131I),V10XA02
trastuzumab,L01XC03
Vitamin K antagonists,B01AA
tocilizumab,L04AC07
zidovudine,J05AF01
colecalciferol,A11CC05
alcaftadine,S01GX11
polyplatillen,L01XA05
clenbuterol,R03AC14
Non-selective monoamine reuptake inhibitors,N06AA
Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals in ATC,V09DX
zorubicin,L01DB05
tiaprofenic acid,M01AE11
raloxifene,G03XC01
"brompheniramine, combinations",R06AB51
levonorgestrel,G03AC03
alvimopan,A06AH02
darunavir and cobicistat,J05AR14
"Fenamates, antiinflammatory and antirheumatic drugs",M01AG
ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01A
Specific immunoglobulin combinations,J06BB30
cocaine,S01HA01
methylscopolamine,S01FA03
rifampicin,J04AB02
ormeloxifene,G03XC04
"calcium dobesilate, combinations",C05BX51
ephedrine,R01AA03
ferrous ascorbate,B03AA10
insulin aspart,A10AD05
pilocarpine,S01EB01
chlorphenoxamine,D04AA34
"Calcium, combinations with vitamin D and/or other drugs",A12AX
bepridil,C08EA02
hydrocortisone,C05AA01
tilactase,A09AA04
sodium tetradecyl sulfate,C05BB04
cyclothiazide and potassium,C03AB09
degarelix,L02BX02
fondaparinux,B01AX05
oxyfedrine,C01DX03
tiopronin,G04BX16
prednisolone,C05AA04
Drugs for treatment of hypercalcemia,V03AG
"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02A
ceftobiprole medocaril,J01DI01
"Angiotensin II antagonists, plain",C09CA
helium,V03AN03
phloroglucinol,A03AX12
olmesartan medoxomil,C09CA08
acetohydroxamic acid,G04BX03
prednisone,A07EA03
antacids containing magnesium compounds,A02AA
cevimeline,N07AX03
sodium feredetate,B03AB03
rimonabant,A08AX01
PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D
bevonium,A03AB13
sitagliptin,A10BH01
povidone-iodine,S01AX18
copper sulfate,V03AB20
electrolytes,B05BB01
"ispaghula, combinations",A06AC51
"coagulation factor IX, II, VII and X in combination",B02BD01
technetium (99mTc) gluconate,V09CA05
gestonorone,L02AB03
gatifloxacin,J01MA16
colestyramine,C10AC01
vilanterol and fluticasone furoate,R03AK10
enflurane,N01AB04
"ADRENERGICS, INHALANTS",R03A
Gene or Genome,T028
ketamine,N01AX03
cefradine,J01DB09
Family Group,T099
"Organophosphorous compounds, antitrematodals",P02BB
"DIGESTIVES, INCL. ENZYMES",A09A
lanreotide,H01CB03
budesonide,A07EA06
Embryonic Structure,T018
"Barbiturates, combinations",N05CB
triamcinolone and antiinfectives,S02CA04
"meningococcus B, multicomponent vaccine",J07AH09
"measles, live attenuated",J07BD01
lomefloxacin,S01AE04
"nitrous oxide, combinations",N01AX63
proquazone,M01AX13
"Carbamide products, emollients and protectives",D02AE
clofezone,M02AA03
hydromorphone and naloxone,N02AA53
Opioid anesthetics,N01AH
metandienone,A14AA03
sinecatechins,D06BB12
thiotepa,L01AC01
cangrelor,B01AC25
TONICS,A13
fructose,V06DC02
aminobutyric acid,N03AG03
Benzodiazepine derivative anxiolytics,N05BA
cefoperazone,J01DD12
technetium (99mTc) exametazime labelled cells,V09HA02
tenitramine,C01DA38
"allopurinol, combinations",M04AA51
"acetylsalicylic acid, combinations with psycholeptics",N02BA71
Long-acting sulfonamides,J01ED
prednicarbate,D07AC18
"Antracen derivatives, topical antipsoriatics",D05AC
azelaic acid,D10AX03
ANTIMYCOBACTERIALS,J04
"LIVER THERAPY, LIPOTROPICS",A05B
indometacin,M01AB01
fluocortolone,D07AC05
oxycodone and naltrexone,N02AA56
etofenamate,M02AA06
moxifloxacin,S01AE07
entacapone,N04BX02
trichlormethiazide and potassium,C03AB06
glutamine,A16AA03
"Hydantoin derivatives, antiepileptics",N03AB
ipratropium bromide,R01AX03
medroxyprogesterone and estrogen,G03FB06
spironolactone,C03DA01
Benzodiazepine derivative hypnotics and sedatives,N05CD
Vitamin A and D in combination,A11CB
hydroxycarbamide,L01XX05
phenacemide,N03AX07
metildigoxin,C01AA08
bosentan,C02KX01
metformin and evogliptin,A10BD22
prasterone and estrogen,G03EA03
chloramphenicol,S02AA01
VIRAL VACCINES,J07B
Carbamate anxiolytics,N05BC
bisacodyl,A06AG02
phenindione,B01AA02
Hydrazinophthalazine derivatives and diuretics,C02LG
"acetyldigoxin, combinations",C01AA52
eritrityl tetranitrate,C01DA13
omoconazole,G01AF16
ALL OTHER THERAPEUTIC PRODUCTS,V03A
midazolam,N05CD08
demoxytocin,H01BB01
povidone-iodine,D11AC06
polihexanide,D08AC05
daclizumab,L04AC01
oxyquinoline,G01AC30
sertaconazole,G01AF19
toloxatone,N06AG03
mandelic acid,B05CA06
tretinoin,D10AD01
calcium levofolinate,V03AF04
"zoster, purified antigen",J07BK03
ibuprofen,C01EB16
"clemastine, combinations",R06AA54
"alendronic acid and alfacalcidol, sequential",M05BB06
"Phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects",C08DA
lorcaserin,A08AA11
Actinomycines,L01DA
cabergoline,G02CB03
isosorbide dinitrate,C05AE02
tioxolone,D10AB03
sulconazole,D01AC09
moxaverine,A03AD30
oxaflozane,N06AX10
"HMG CoA reductase inhibitors, other combinations",C10BX
Ultrasound contrast media,V08DA
probenecid,M04AB01
acamprosate,N07BB03
venetoclax,L01XX52
chlorquinaldol,R02AA11
"hydroxyethylpromethazine, combinations",R06AD55
safinamide,N04BD03
gestodene and ethinylestradiol,G03AB06
raxibacumab,J06BB18
"Watersoluble, nephrotropic, low osmolar X-ray contrast media",V08AB
dolutegravir,J05AX12
clofarabine,L01BB06
propranolol,C07AA05
fenoterol,R03AC04
ivacaftor and tezacaftor,R07AX31
rabies immunoglobulin,J06BB05
"phenylephrine, combinations",R01BA53
neomycin,B05CA09
methylergometrine and oxytocin,G02AC01
brinase,B01AD06
atorvastatin and acetylsalicylic acid,C10BX08
Multivitamins with minerals,A11AA
Belladonna and derivatives in combination with psycholeptics,A03CB
"chlorhexidine, combinations",D08AC52
tolfenamic acid,M01AG02
ranitidine bismuth citrate,A02BA07
resorcinol,S01AX06
clemastine,R06AA04
"Beta blocking agents, non-selective",C07AA
"phenprobamate, combinations excl. psycholeptics",M03BA51
"cimetidine, combinations",A02BA51
pizotifen,N02CX01
"mifepristone, combinations",G03XB51
sonidegib,L01XX48
phenylephrine and ketorolac,S01FB51
loxapine,N05AH01
"montelukast, combinations",R03DC53
Indium-111 tumour detection radiopharmaceuticals,V09IB
velaglucerase alfa,A16AB10
"bismuth subcitrate, tetracycline and metronidazole",A02BD08
penciclovir,J05AB13
hexobarbital,N01AF02
chlorhexidine,S01AX09
"Corticosteroids, weak, combinations with antiseptics",D07BA
Bile acids and derivatives for bile therapy,A05AA
asfotase alfa,A16AB13
norepinephrine,C01CA03
digoxin,C01AA05
salicylic acid,D01AE12
antacids containing calcium compounds,A02AC
"orciprenaline, combinations",R03CB53
binimetinib,L01XE41
isoetarine,R03AC07
diphenoxylate,A07DA01
sulfamethizole,J01EB02
IMMUNOSUPPRESSANTS,L04A
saquinavir,J05AE01
morinamide,J04AK04
bentazepam,N05BA24
diphenylpyraline,R06AA07
ingenol mebutate,D06BX02
chloramphenicol,J01BA01
unoprostone,S01EE02
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02C
suramin sodium,P01CX02
ornipressin,H01BA05
"Antacids, other combinations in ATC",A02AX
omacetaxine mepesuccinate,L01XX40
furosemide and potassium-sparing agents,C03EB01
iobenguane (131I),V09IX02
trimetrexate,P01AX07
lindane,P03AB02
"prednisolone, combinations",A01AC54
fluocinolone acetonide and antibiotics,D07CC02
"propatylnitrate, combinations",C01DA57
aceclofenac,M02AA25
Local hemostatic combinations,B02BC30
thioacetazone,J04AK07
guaiazulen,S01XA01
rosoxacin,J01MB01
pipemidic acid,J01MB04
neomycin,S01AA03
telbivudine,J05AF11
Various therapeutic radiopharmaceuticals,V10XX
fluocinonide and antibiotics,D07CC05
SURGICAL DRESSINGS,V20
dimethyl sulfoxide,M02AX03
adrafinil,N06BX17
desonide and antiseptics,D07BB02
colistin,A07AA10
Other antineoplastic agents in ATC,L01XX
"Natural and semisynthetic estrogens, plain",G03CA
erythrocytes,B05AX01
apomorphine,N04BC07
"chondrocytes, autologous",M09AX02
pentostatin,L01XX08
pertuzumab,L01XC13
sofosbuvir,J05AP08
"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B
mecamylamine,C02BB01
OTHER NERVOUS SYSTEM DRUGS in ATC,N07
Other anxiolytics in ATC,N05BX
Aldose reductase inhibitors used in diabetes,A10XA
nebivolol and thiazides,C07BB12
dinutuximab,L01XC16
trimethadione,N03AC02
sodium phosphate,B05XA09
OTHER HEMATOLOGICAL AGENTS in ATC,B06A
"Insulins and analogues for injection, intermediate-acting",A10AC
drotrecogin alfa (activated),B01AD10
"atorvastatin, acetylsalicylic acid and perindopril",C10BX12
clomocycline,J01AA11
"Beta blocking agents, selective, and other diuretics",C07CB
"fumaric acid derivatives, combinations",D05BX51
calcium dobesilate,C05BX01
mequinol,D11AX06
THERAPEUTIC RADIOPHARMACEUTICALS,V10
Antivirals for treatment of HCV infections,J05AP
Biguanides and amidines as antiseptics and disinfectants,D08AC
"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",M03C
aripiprazole,N05AX12
bemiparin,B01AB12
imipramine,N06AA02
terguride,G02CB06
posaconazole,J02AC04
nadolol,C07AA12
dihydroergocristine,C04AE04
iotrolan,V08AB06
"DIAGNOSTIC AGENTS, OPHTHAMOLOGIC",S01J
deanol,N06BX04
Selenium supplements,A12CE
propantheline and psycholeptics,A03CA34
dihydrotachysterol,A11CC02
tolperisone,M02AX06
tymazoline,R01AA13
Ergot alkaloid oxytocics,G02AB
rimexolone,S01BA13
"Angiotensin II antagonists, other combinations",C09DX
aminobenzoic acid,D02BA01
hydroxocobalamin,B03BA03
isoaminile,R05DB04
"Diphenylbutylpiperidine derivatives, antipsychotics",N05AG
tyloxapol,R05CA01
Aminosalicylic acid and derivatives,J04AA
"dasabuvir, ombitasvir, paritaprevir and ritonavir",J05AP52
chlorquinaldol,G01AC03
streptomycin,J01GA01
"hemophilus influenzae B, combinations with meningococcus C, conjugated",J07AG53
sofosbuvir and velpatasvir,J05AP55
becaplermin,D03AX06
ipecacuanha,R05CA04
Specific immunoglobulins,J06BB
insulin (beef),A10AD02
"lamivudine, tenofovir disoproxil and efavirenz",J05AR11
doxycycline,A01AB22
"ergoloid mesylates, combinations",C04AE51
