name,atc,inchi_key,smiles
"5,6-cyclic-tetrahydropteridine",,XAZOBOCYEGBXHD-GSVOUGTGSA-N,NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1
(4-sulfamoyl-phenyl)-thiocarbamic acid o-(2-thiophen-3-yl-ethyl) ester,,NXMUSVRWCFYOTJ-UHFFFAOYSA-N,NS(=O)(=O)C1=CC=C(NC(=S)OCCC2=CSC=C2)C=C1
1-bromopropane-2-ol,,WEGOLYBUWCMMMY-VKHMYHEASA-N,C[C@H](O)CBr
bia,,KVIVJQWOYSWCCZ-UHFFFAOYSA-N,OC1=CC(=CC(=C1O)[N+]([O-])=O)C(=O)CCN1CCN(CC1)C1=CC(=CC=C1)C(F)(F)F
1-(2-amidinophenyl)-3-(phenoxyphenyl)urea,,ZHCAYBOLUMAUQX-UHFFFAOYSA-N,NC(=N)C1=CC=C(NC(=O)NC2=CC=C(OC3=CC=CC=C3)C=C2)C=C1
heptyl-beta-d-glucopyranoside,,NIDYWHLDTIVRJT-UJPOAAIJSA-N,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCCC)[C@]1([H])O
3-iodo-benzyl alcohol,,QGCCNWSXJHGUNL-UHFFFAOYSA-N,OCC1=CC=CC(I)=C1
3-[(1-amino-2-carboxy-ethyl)-hydroxy-phosphinoyl]-2-methyl-propionic acid,,NJOTXUMMTTYQMQ-RFZPGFLSSA-N,[H][C@@](C)(CP(O)(=O)[C@@]([H])(N)CC(O)=O)C(O)=O
coa-s-acetyl 5-bromotryptamine,,BBDVCGJBELWXIQ-GMHMEAMDSA-N,[H][C@](O)(C(O)=NCCC(O)=NCCSCC(O)=NCCC1=CNC2=C1C=C(Br)C=C2)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
4-(acetylamino)-3-guanidinobenzoic acid,,HIXHCUDMJUERSJ-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1NC(N)N)C(O)=O
malate like intermediate,,QFBHYOKSQPPXHZ-UWTATZPHSA-L,O[C@H](\C=C(/O)[O-])C([O-])=O
"inositol-(1,3,4,5,6)-pentakisphosphate",,CTPQAXVNYGZUAJ-ADOSBGCESA-N,[H][C@]1(O)[C@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@]([H])(OP(O)(O)=O)[C@@]1([H])OP(O)(O)=O
mercaptoethanol,,DGVVWUTYPXICAM-UHFFFAOYSA-N,OCCS
"3,5,3',5'-tetrachloro-biphenyl-4,4'-diol",,YCYDXOVJXVALHY-UHFFFAOYSA-N,OC1=C(Cl)C=C(C=C1Cl)C1=CC(Cl)=C(O)C(Cl)=C1
triethyl phosphate,,DQWPFSLDHJDLRL-UHFFFAOYSA-N,CCOP(=O)(OCC)OCC
huperzine b,,YYWGABLTRMRUIT-HWWQOWPSSA-N,[H][C@@]12CC3=C(C=CC(O)=N3)[C@]3(CC(C)=C1)NCCC[C@]23[H]
8-bromo-adenosine-5'-monophosphate,,DNPIJKNXFSPNNY-UUOKFMHZSA-N,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
cobalt hexammine ion,,DYLMFCCYOUSRTK-UHFFFAOYSA-N,[NH3+][Co-3]([NH3+])([NH3+])([NH3+])([NH3+])[NH3+]
sri-9439,,KMSATRJZEXNGDP-UHFFFAOYSA-N,CC1=C(CNC2=CC=CC3=NC=CC=C23)C=NC2=NC(N)=NC(N)=C12
s-arsonocysteine,,XSWAJYRRDHPZDP-REOHCLBHSA-N,N[C@@H](CS[As](O)(O)=O)C(O)=O
2-iminobiotin,,WWVANQJRLPIHNS-ZKWXMUAHSA-N,[H][C@]12CS[C@@]([H])(CCCCC(O)=O)[C@@]1([H])NC(=N)N2
"2-(beta-d-glucopyranosyl)-5-methyl-1,3,4-oxadiazole",,HCSFWJQLIPWUFZ-JAJWTYFOSA-N,[H][C@]1(CO)O[C@@]([H])(C2=NN=C(C)O2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
5'-o-(n-(l-threonyl)-sulfamoyl)adenosine,,UPVAPSGKXAAHBG-CKTDUXNWSA-N,[H][C@](C)(O)[C@]([H])(N)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
(s)-mandelic acid,,IWYDHOAUDWTVEP-ZETCQYMHSA-N,O[C@H](C(O)=O)C1=CC=CC=C1
7n-methyl-8-hydroguanosine-5'-triphosphate,,BUJQMJUTTBGELS-KQYNXXCUSA-N,[H][C@]1(O)[C@@]([H])(O)[C@@]([H])(O[C@]1([H])COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1CN(C)C2=C1NC(=N)N=C2O
"m-(n,n,n-trimethylammonio)-2,2,2-trifluoro-1,1-dihydroxyethylbenzene",,KGVDBJQLTHWAJF-UHFFFAOYSA-N,C[N+](C)(C)C1=CC=CC(=C1)C(O)(O)C(F)(F)F
n-acetylproline,,GNMSLDIYJOSUSW-LURJTMIESA-N,[H][C@]1(CCCN1C(C)=O)C(O)=O
"2-{(9as)-9a-[(1s)-1-hydroxyethyl]-2,7-dimethyl-9a,10-dihydro-5h-pyrimido[4,5-d][1,3]thiazolo[3,2-a]pyrimidin-8-yl}ethyl trihydrogen diphosphate",,UQFVHIGKDHNMJT-XPTSAGLGSA-N,[H][C@@](C)(O)[C@]12NC3=NC(C)=NC=C3CN1C(C)=C(CCOP(O)(=O)OP(O)(O)=O)S2
n-dimethyl-lysine,,XXEWFEBMSGLYBY-ZETCQYMHSA-N,[H][C@](N)(CCCCN(C)C)C(O)=O
3-acetylpyridine adenine dinucleotide,,KPVQNXLUPNWQHM-RBEMOOQDSA-N,[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(C)=O)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
n-carbamyl-d-methionine,,DEWDMTSMCKXBNP-SCSAIBSYSA-N,CSCC[C@@H](NC(N)=O)C(O)=O
"4-[3-hydroxyanilino]-6,7-dimethoxyquinazoline",,BNDYIYYKEIXHNK-UHFFFAOYSA-N,COC1=CC2=NC=NC(NC3=CC(O)=CC=C3)=C2C=C1OC
imidazole,,RAXXELZNTBOGNW-UHFFFAOYSA-N,N1C=CN=C1
pf-00356231,,VMTJQZUZINLEKC-JOCHJYFZSA-N,[H][C@](CC(O)=O)(NC(=O)C1=CC(=CS1)C1=CC=C(C=C1)C1=CC=NC=C1)C1=CC=CC=C1
"5-methyl-5-(4-phenoxy-phenyl)-pyrimidine-2,4,6-trione",,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1
9-aminophenanthrene,,KIHQWOBUUIPWAN-UHFFFAOYSA-N,NC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
fr239087,,HCJYSIGJDKNVRU-TVQRCGJNSA-N,[H][C@@](C)(O)[C@@]([H])(CCC1=CC=CC(Cl)=C1Cl)N1C=NC(=C1)C(N)=O
modified ribosylated glutamyl ester,,DAZJIIGIBQQBAL-WLUSSPCKSA-N,[H][C@](N)(CCC(=O)O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]1(O)F)C(O)=O
"3-mercapto-1-(1,3,4,9-tetrahydro-b-carbolin-2-yl)-propan-1-one",,UGWLHSPOMCORRH-UHFFFAOYSA-N,SCCC(=O)N1CCC2=C(C1)NC1=C2C=CC=C1
zk-806711,,JABMRQOJSAZJAD-QRQIAZFYSA-O,[H]N=C(C)N1CCC(CC1)OC1=CC2=C(C=C1)N=C(C)N2CC1=CC2=C(C=C1)C=CC(=C2)C(N)=[NH2+]
"3,5-diiodotyrosine",,NYPYHUZRZVSYKL-ZETCQYMHSA-N,[H][C@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O
'5'-o-(n-(l-alanyl)-sulfamoyl)adenosine,,CWWYMWDIYBJVLP-YTMOPEAISA-N,[H][C@@](C)(N)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
"4-amino-1-[(1s,3r,4r,7s)-7-hydroxy-1-(hydroxymethyl)-2,5-dioxabicyclo[2.2.1]hept-3-yl]-5-methylpyrimidin-2(1h)-one",,,
2-carboxyethylphosphonic acid,,NLBSQHGCGGFVJW-UHFFFAOYSA-N,OC(=O)CCP(O)(O)=O
l-tyrosinamide,,PQFMNVGMJJMLAE-QMMMGPOBSA-N,[H][C@](N)(CC1=CC=C(O)C=C1)C(N)=O
hexadecanal,,NIOYUNMRJMEDGI-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC=O
s-oxy-l-cysteine,,BHLMCOCHAVMHLD-REOHCLBHSA-N,[H][C@](N)(CS=O)C(O)=O
5-chloro-1h-indole-2-carboxylic acid [1-(4-fluorobenzyl)-2-(4-hydroxypiperidin-1yl)-2-oxoethyl]amide,,YDCGVASFVACWKF-NRFANRHFSA-N,[H][C@@](CC1=CC=C(F)C=C1)(NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2)C(=O)N1CCC(O)CC1
fica,,JFUIHGAGFMFNRD-UHFFFAOYSA-N,FC1=CC2=C(NC(=C2)C(=O)NCCS)C=C1
4-methylimidazole,,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,CC1=CN=CN1
4-fluorotryptophane,,DEBQMEYEKKWIKC-QMMMGPOBSA-N,N[C@@H](CC1=CNC2=C1C(F)=CC=C2)C(O)=O
n-hydroxy-n-isopropyloxamic acid,,QVIOSGUKMDGWNN-UHFFFAOYSA-N,CC(C)N(O)C(=O)C(O)=O
"3-[(2,4-dichlorobenzoyl)(isopropyl)amino]-5-phenylthiophene-2-carboxylic acid",,UKNZREOUDLFUFF-UHFFFAOYSA-N,CC(C)N(C(=O)C1=C(Cl)C=C(Cl)C=C1)C1=C(SC(=C1)C1=CC=CC=C1)C(O)=O
alpha-d-xylopyranose,,SRBFZHDQGSBBOR-LECHCGJUSA-N,O[C@@H]1CO[C@H](O)[C@H](O)[C@H]1O
n-propyl-tartramic acid,,LNEZKQHJUNIZIS-RFZPGFLSSA-N,[H][C@](O)(C(O)=O)[C@@]([H])(O)C(O)=NCCC
chromophore (met-tyr-gly),,NRAOUAPLRQEFMH-OEMOTLHWSA-N,[H]\C(=C1\N=C(N(CC(O)=O)C1=O)[C@@]([H])(N)CCSC)C1=CC=C(O)C=C1
"(3,4,5-trihydroxy-6-hydroxymethyl-tetrahydro-pyran-2-yl)-phosphoramidic acid dimethyl ester",,LJBUJRWZZYUNKX-JAJWTYFOSA-N,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(NP(=O)(OC)OC)[C@]1([H])O
"(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-ethyl-4-hydroxy-3,5,11-trimethyl-8-oxo-1-oxa-7-azaspiro[5.5]undec-2-yl]-8-hydroxy-1,7-dimethylnona-1,3-dienyl}-10,12-dihydroxy-3-(3-hydroxybenzyl)-6-isopropyl-11-methyl-",,ONJZYZYZIKTIEG-CFBQITSMSA-N,[H]\C(CC[C@]([H])(C)[C@@]([H])(O)C[C@]1([H])O[C@@]2(N=C(O)[C@@]([H])(CC)C[C@]2([H])C)[C@@]([H])(C)[C@@]([H])(O)[C@@]1([H])C)=C(\[H])/C(/[H])=C(\C)[C@]1([H])C\C([H])=C(/[H])\C(\[H])=C([H])\[C@]([H])(O)[C@]([H])(C)[C@@]([H])(O)[C@@]([H])(CCC(C)=O)C(O)=N[C@@]([H])(C(C)C)C(O)=N[C@@]([H])(CC2=CC(O)=CC=C2)C(=O)N2CCC[C@]([H])(N2)C(=O)O1
heptaethylene glycol,,XPJRQAIZZQMSCM-UHFFFAOYSA-N,OCCOCCOCCOCCOCCOCCOCCO
enalkiren,,KQXVERRYBYGQJZ-WRPDIKACSA-N,COC1=CC=C(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)C=C1
"(e)-(2r,3r,4s,5r)-3,4,5-trihydroxy-2-methoxy-8,8-dimethyl-non-6-enoic acid ((3s,6r)-6-hydroxy-2-oxo-azepan-3-yl)-amide",,FVBBTOIQETYGOA-SDNORSGYSA-N,[H]\C(=C(\[H])C(C)(C)C)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(OC)C(O)=N[C@@]1([H])CC[C@@]([H])(O)CN=C1O
uridine-diphosphate-n-acetylglucosamine,,LFTYTUAZOPRMMI-CFRASDGPSA-N,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
ethyl isocyanide,,JEGVKBYNUPNGJU-UHFFFAOYSA-N,CC[N+]#C
3-(p-tolyl)propionic acid,,LDYGRLNSOKABMM-UHFFFAOYSA-N,CC1=CC=C(CCC(O)=O)C=C1
"1d-myo-inositol 1,4,5-trisphosphate",,MMWCIQZXVOZEGG-XJTPDSDZSA-N,O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
"1,2-di-1-(3,7,11,15-tetramethyl-hexadecane)-sn-glycero-3-phosphate",,UKQGAMWGTOTQPC-ALOLAALWSA-N,[H][C@@](C)(CCCC(C)C)CCC[C@@]([H])(C)CCC[C@@]([H])(C)CCOC[C@@]([H])(COP(O)(O)=O)OCC[C@]([H])(C)CCC[C@]([H])(C)CCC[C@]([H])(C)CCCC(C)C
cytidine-5'-monophosphate,,IERHLVCPSMICTF-XVFCMESISA-N,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
hemin,,,
n2-[(benzyloxy)carbonyl]-n-[(3r)-1-{n-[(benzyloxy)carbonyl]-l-leucyl}-4-oxo-3-pyrrolidinyl]-l-leucinamide,,GXENQLUSOCKXDN-GMQQYTKMSA-N,[H]N([C@@H](CC(C)C)C(=O)N([H])[C@@H]1CN(CC1=O)C(=O)[C@H](CC(C)C)N([H])C(=O)OCC1=CC=CC=C1)C(=O)OCC1=CC=CC=C1
o1-methyl-4-deoxy-4-thio-alpha-d-glucose,,PFROTWRHYMLGHR-GKHCUFPYSA-N,[H][C@@]1(O)[C@@]([H])(O)[C@@]([H])(OC)O[C@]([H])(CO)[C@@]1([H])S
4-nitrocatechol,,XJNPNXSISMKQEX-UHFFFAOYSA-N,OC1=CC=C(C=C1O)[N+]([O-])=O
gamma-glutamylcysteine,,RITKHVBHSGLULN-WHFBIAKZSA-N,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O
octahydroindole-2-carboxylic acid,,CQYBNXGHMBNGCG-FXQIFTODSA-N,[H][C@]1(C[C@]2([H])CCCC[C@]2([H])N1)C(O)=O
4-hydroxycoumarin,,VXIXUWQIVKSKSA-UHFFFAOYSA-N,OC1=CC(=O)OC2=CC=CC=C12
"2-hydroxymethyl-pyrrolidine-3,4-diol",,OQEBIHBLFRADNM-YUPRTTJUSA-N,OC[C@@H]1NC[C@H](O)[C@H]1O
6-hydroxy-l-norleucine,,OLUWXTFAPJJWPL-YFKPBYRVSA-N,N[C@@H](CCCCO)C(O)=O
deoxyuridine-5'-diphosphate,,QHWZTVCCBMIIKE-SHYZEUOFSA-N,O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
5-thio-a/b-d-mannopyranosylamine,,FGVRMLQUWLZGLJ-PQMKYFCFSA-N,[H][C@]1(N)S[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])O
3-thiaoctanoyl-coenzyme a,,JMFXDZKFFYUOAN-SVHODSNWSA-N,[H][C@](O)(C(O)=NCCC(O)=NCCSC(=O)CSCCCCC)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
thiamine(1+) monophosphate,,HZSAJDVWZRBGIF-UHFFFAOYSA-N,CC1=C(CCO[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N
1-(4-tert-butylcarbamoyl-piperazine-1-carbonyl)-3-(3-guanidino-propyl)-4-oxo-azetidine-2-carboxylic acid,,BVNQCAHTTOIOEK-STQMWFEESA-N,[H][C@](CCCNC(N)=N)(C=O)[C@]([H])(N=C(O)N1CCN(CC1)C(O)=NC(C)(C)C)C(O)=O
diacetyldeuteroheme,,YTEJZYYPHLALHQ-IDTMDVKXSA-K,CC(=O)C1=C(C)C2=CC3=C(C(O)=C)C(C)=C4C=C5N6C(=CC7=C(CCC(O)=O)C(C)=C8C=C1N2[Fe]6(N78)N34)C(CCC(O)=O)=C5C
uracil,,ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=C1NC=CC(=O)N1
"2,4-deoxy-4-guanidino-5-n-acetyl-neuraminic acid",,DAAUVSVERFXBSX-IHICSVBISA-N,[H][C@@](O)(CO)[C@@]([H])(O)[C@]1([H])O[C@]([H])(C[C@]([H])(NC(N)=N)[C@@]1([H])N=C(C)O)C(O)=O
"2-phenethyl-2,3-dihydro-phthalazine-1,4-dione",,JSSVIGGKHIJEHO-UHFFFAOYSA-N,O=C1NN(CCC2=CC=CC=C2)C(=O)C2=C1C=CC=C2
"1,3-thiazole-4-carboxylic acid",,HMVYYTRDXNKRBQ-UHFFFAOYSA-N,OC(=O)C1=CSC=N1
s-adenosyl-l-homoselenocysteine,,UVSMMLABJBJNGH-WFMPWKQPSA-N,[H][C@](N)(CC[Se]C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(O)=O
ubenimex,,VGGGPCQERPFHOB-RDBSUJKOSA-N,[H][C@@](N)(CC1=CC=CC=C1)[C@]([H])(O)C(O)=N[C@@]([H])(CC(C)C)C(O)=O
"2s,4r-4-methylglutamate",,KRKRAOXTGDJWNI-DMTCNVIQSA-M,[H][C@@](C)(C[C@]([H])(N)C(O)=O)C([O-])=O
digalactosyl diacyl glycerol (dgdg),,LDQFLSUQYHBXSX-HXXRYREZSA-N,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(CO[C@]1([H])O[C@]([H])(CO[C@@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O)OC(=O)CCCCCCCCCCCCCCCCC
delta-(l-alpha-aminoadipoyl)-l-cysteinyl-d-vinylglycine,,JJJCGQKXGIRXKN-YIZRAAEISA-N,[H][C@](N)(CCCC(O)=N[C@@]([H])(CS)C(O)=N[C@]([H])(C=C)C(O)=O)C(O)=O
su9516,,QNUKRWAIZMBVCU-WCIBSUBMSA-N,COC1=CC=C2NC(=O)\C(=C/C3=CN=CN3)C2=C1
tetrastearoyl cardiolipin,,XVTUQDWPJJBEHJ-KZCWQMDCSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)COP(O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
(2s)-hydroxy(4-hydroxyphenyl)ethanenitrile,,HOOOPXDSCKBLFG-MRVPVSSYSA-N,O[C@H](C#N)C1=CC=C(O)C=C1
beta-amino isobutyrate,,QCHPKSFMDHPSNR-GSVOUGTGSA-M,C[C@H](CN)C([O-])=O
{3-[(3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl)-amino]-2-methyl-propyl}-phosphonic acid,,JMZWWHLIKAYMPJ-SSDOTTSWSA-N,C[C@H](CNCC1=C(O)C(C)=NC=C1COP(O)(O)=O)OP(O)(O)=O
3[n-morpholino]propane sulfonic acid,,DVLFYONBTKHTER-UHFFFAOYSA-N,OS(=O)(=O)CCCN1CCOCC1
uridine-5'-diphosphate,,XCCTYIAWTASOJW-XVFCMESISA-N,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
gallichrome,,BEDMDXBTNSVNGS-NIAPTITASA-N,CC1=[O][Ga]2345ON1CCC[C@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CCCN(O2)C(C)=[O]3)NC(=O)C(CCCN(O4)C(C)=[O]5)NC1=O
"2-{1-[2-(2-amino-thiazol-4-yl)-2-methoxyimino-acetylamino]-2-oxo-ethyl}-5,5-dimethyl-thiazolidine-4-carboxylic acid",,YVNKGXXVZIQNIV-RKMXGKDGSA-N,[H][C@](C=O)(N=C(O)C(=N/OC)\C1=CSC(=N)N1)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1
lysophosphatidylglycerol,,BVJSKAUUFXBDOB-SFTDATJTSA-M,[H][C@](O)(CO)COP([O-])(=O)OC[C@@]([H])(O)COC(=O)CCCCCCCCCCCCCCC
"4,6-dideoxy-4-amino-alpha-d-glucose",,RJKBJEZZABBYBA-DVKNGEFBSA-N,[H][C@]1(C)O[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N
n-hexadecanoylglycine,,KVTFEOAKFFQCCX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)NCC(O)=O
2-benzyl-3-iodopropanoic acid,,CRYXPGIJLMKFPX-VIFPVBQESA-N,[H][C@@](CI)(CC1=CC=CC=C1)C(O)=O
2-[5-hydroxy-3-methyl-1-(2-methyl-4-sulfo-phenyl)-1h-pyrazol-4-ylazo]-4-sulfo-benzoic acid,,NOQURKNIKJDEPW-FMQUCBEESA-N,CC1=NN(C(O)=C1\N=N\C1=CC(=CC=C1C(O)=O)S(O)(=O)=O)C1=CC=C(C=C1C)S(O)(=O)=O
bis(5-amidino-benzimidazolyl)methanone zinc,,ZZTKUHCUDLEGEN-UHFFFAOYSA-N,NC(N)C1=CC2=C(C=C1)[N+]1=C(N2)C(=O)C2=[N+]([Zn]1)C1=C(N2)C=C(C=C1)C(N)N
"(3e)-6'-bromo-2,3'-biindole-2',3(1h,1'h)-dione 3-oxime",,DDLZLOKCJHBUHD-WAVHTBQISA-N,O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC(Br)=C2
"(3s)-3-(dioxidosulfanyl)-n-[(1e)-3-oxoprop-1-en-1-yl]-4-(1h-1,2,3-triazol-1-yl)-d-valine",,ANZZKUOZZHRUQC-QZWDGIGVSA-N,[H]\C(N[C@@]([H])(C(O)=O)[C@](C)(CN1C=CN=N1)S(=O)=O)=C(\[H])C=O
n-benzyl-3-(alpha-d-galactopyranosyloxy)benzamide,,FSMWGHKWKYCPKE-QTVCLEQKSA-N,[H][C@]1(CO)O[C@]([H])(OC2=CC=CC(=C2)C(=O)NCC2=CC=CC=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
uridylyl-2'-5'-phospho-adenosine,,QARCCHXXGAIRFS-KPKSGTNCSA-N,[H][C@]1(CO)O[C@@]([H])(N2C=CC(O)=NC2=O)[C@]([H])(OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)[C@]1([H])O
2'-deoxyuridine 3'-monophosphate,,LXKGKXYIAAKOCT-SHYZEUOFSA-N,OC[C@H]1O[C@H](C[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O
n-(4-(2-((3-chlorophenylmethyl)amino)ethyl)phenyl)-2-thiophecarboxamidine,,ZZVGLDBDDYESAB-UHFFFAOYSA-N,ClC1=CC=CC(CNCCC2=CC=C(NC(=N)C3=CC=CS3)C=C2)=C1
cephalothin group,,UUWFGEKEQSCSMB-IAQYHMDHSA-N,[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@]1([H])NC(C(O)=O)=C(CC(=O)OC)CS1
"1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin d3",,KLZOTDOJMRMLDX-YBBVPDDNSA-N,[H]\C(\C(\[H])=C1/CCC[C@@]2(C)[C@@]1([H])CC[C@]2([H])[C@@]([H])(C)OCCCC(O)(CC)CC)=C1/C[C@@]([H])(O)C[C@]([H])(O)C1=C
3-trimethylsilylsuccinic acid,,RTXZCZFAAYFFKF-UHFFFAOYSA-N,C[Si](C)(C)C(CC(O)=O)C(O)=O
(r)—n[2-[1-(aminoiminomethyl)-3-piperidinyl]-1-oxoethyl]-4-(phenylethynyl)-l-phenylalanine methylester,,MRNGXYMKYHNMLV-PKTZIBPZSA-N,[H][C@@](CC1=CC=C(C=C1)C#CC1=CC=CC=C1)(N=C(O)C[C@@]1([H])CCCN(C1)C(N)=N)C(=O)OC
"3-methyl-benzene-1,2-diol",,PGSWEKYNAOWQDF-UHFFFAOYSA-N,CC1=CC=CC(O)=C1O
(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,,FJAWIBGKKKXXAL-LLVKDONJSA-N,[H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2
n2-[(benzyloxy)carbonyl]-n1-[(3s)-1-cyanopyrrolidin-3-yl]-l-leucinamide,,IMTUSTXBVIALBC-SJORKVTESA-N,[H][C@@](CC(C)C)(NC(=O)OCC1=CC=CC=C1)C(=O)N[C@]1([H])CCN(C1)C#N
"n(4)-adenosyl-n(4)-methyl-2,4-diaminobutanoic acid",,JISVTSUBJCPLSV-TWBCTODHSA-N,CN(CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12
sparfosic acid,,ZZKNRXZVGOYGJT-VKHMYHEASA-N,[H][C@@](CC(O)=O)(N=C(O)CP(O)(O)=O)C(O)=O
violaxanthin,,SZCBXWMUOPQSOX-WVJDLNGLSA-N,C\C(\C=C\C=C(/C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
2'-monophosphoadenosine 5'-diphosphoribose,,XJLXINKUBYWONI-NNYOXOHSSA-N,[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O
thymine,,RWQNBRDOKXIBIV-UHFFFAOYSA-N,CC1=CNC(=O)NC1=O
formycin-5'-monophosphate,,PBAHXXBYQACZMA-KSYZLYKTSA-N,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(C2=C3N=CN=C(N)C3=NN2)[C@]([H])(O)[C@]1([H])O
